	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
80755	9.226629664	9.811721477	9.713509212	8.987637217	10.00486778	9.500945622	9.861190993	9.672044639	9.898816604	9.952801662
16	11.43888207	12.26052571	11.336905	12.7412887	12.17559253	12.24916724	12.85037498	11.43412982	11.52321374	11.04566623
60496	9.117295826	9.889762971	7.839563472	8.701727165	8.378642535	9.257942891	9.881062096	9.61739363	9.105041322	9.222509233
132949	7.660986358	7.32091605	6.365073087	7.076305755	6.881038076	7.651051691	6.922169299	7.553360503	7.753275593	7.487222637
10157	6.967305814	5.375609444	6.261423625	5.39623143	7.599494846	6.438198022	6.301441321	7.876247414	8.571280894	7.906915241
26574	10.50162295	11.00688874	11.36217869	10.53504068	10.55857999	10.89459248	10.69581247	10.3727988	10.38156242	10.71908699
9625	9.906045019	4.271410735	7.86948342	5.791207178	6.761367726	5.159830981	3.559993427	4.35900804	4.318989219	7.375507797
18	7.206539691	5.62821367	8.642309513	6.446370384	7.908394422	4.923320354	3.357847551	8.373411135	8.885973295	8.411168175
10349	2.8230156	0.843501526	0	1.218037159	2.928881927	3.359858472	4.037399794	2.906659746	5.05165487	4.49676911
79963	5.035487551	5.853057491	6.51547435	5.08171031	5.53612752	6.919599897	6.841344192	6.45373321	6.628722569	6.204510501
26154	0	5.375609444	4.487267665	2.656496371	4.779307004	7.129242827	4.037399794	5.065826467	5.092232814	5.060267923
154664	5.607126102	8.545319365	4.487267665	1.218037159	5.385217033	6.139512471	2.988975468	3.189587384	3.511822218	5.197102649
650655	2.160984708	2.062743429	6.678474789	0	2.435655261	1.347325492	0	0	1.532117437	1.411317768
19	9.666412029	11.17006363	8.863787955	9.968124313	8.850036777	8.047534572	6.957950573	10.02754334	9.41579373	9.520231487
20	11.45815025	9.789876754	12.23426147	12.33542073	11.56704156	10.45462481	10.67214791	9.996203285	10.35366954	10.60610563
21	6.274054748	9.270259346	11.28002505	6.973478112	6.631187244	5.842242216	4.992786555	6.417585887	7.839227728	7.099080552
24	5.753588492	4.634198274	6.849069762	7.745021477	6.092856488	4.39761132	1.34596403	5.682730592	4.383185866	4.599109469
23461	7.351614196	4.72366777	6.178487584	7.145510354	7.416083919	8.186597121	8.847126268	8.1849155	8.299649919	7.552453926
23460	3.513073794	2.71393771	0	3.962447226	2.928881927	3.739329676	3.245054451	1.781149852	7.346767235	3.835722002
10347	10.42535429	8.022296231	8.616286378	9.561558891	10.51684999	9.168715737	8.145624983	9.099406464	8.793643948	10.31424244
10351	6.306061689	1.758431108	3.459431619	1.868884273	4.038743442	2.493954694	2.988975468	3.055039435	7.363440944	7.70942023
10350	4.198580587	2.527720953	3.63559189	3.362301553	4.72018542	4.39761132	4.28571292	2.087259152	8.034063812	6.501862656
23456	7.851965742	8.164896873	6.438198022	6.846222503	7.434591534	8.88513108	8.508371999	7.886189185	7.721293358	8.270920398
8647	0	0	0	0	1.68036937	0	0	0	1.532117437	0
5243	7.796715845	4.538805075	3.63559189	6.489597524	6.115973752	6.216437404	4.992786555	7.794146798	8.018356543	8.379162597
5244	3.398979633	2.71393771	1.280124892	3.834165097	4.994172381	3.820424072	2.988975468	4.956841927	4.677953554	4.909081827
340273	0	3.160984708	1.94751655	0	0	0	0	0.857821792	2.258307857	1.411317768
10058	8.97500216	9.78906082	11.54781032	10.63535727	11.3199117	9.565341079	10.26599448	10.20772707	9.317585817	11.12252998
22	8.973657478	8.648886743	8.589784831	8.394650469	8.310284673	8.516688888	8.736731701	8.703633692	8.182387401	8.223641197
11194	10.62886954	8.660263364	10.08385916	8.714582451	10.17687138	9.659500048	9.865966897	9.945996373	9.922919729	10.58677366
23457	7.036669265	7.031606927	8.519916902	7.753912686	8.479414897	6.716259762	7.770942	7.18705212	8.806626628	8.477665996
89845	8.963658784	8.291007192	9.822229355	9.546285622	9.90885598	10.01753391	9.113258235	10.01217979	9.514455667	9.295506999
85320	0.901571685	2.062743429	6.718165691	1.218037159	5.043235126	1.729705026	4.682140649	2.906659746	1.532117437	1.411317768
94160	0	0	1.280124892	0	1.68036937	0	0	0	2.518635847	3.082174594
150000	0	0	1.94751655	0	0	0.825541427	0	0.857821792	1.532117437	1.411317768
4363	10.48598997	11.675827	11.83011903	10.51817828	11.37678411	11.34270751	11.25749734	10.91341386	10.89089047	11.33468821
1244	2.634198274	3.160984708	0	1.868884273	4.220376393	3.820424072	2.279501011	4.665074361	4.172271479	2.933383791
8714	10.57406129	9.02392924	8.512881467	8.70085374	10.54053821	9.060205494	4.592773947	8.439041704	6.965041971	8.067272469
10257	8.729998276	9.182246352	7.210845674	6.829495691	7.359093281	7.343318984	7.586543339	7.934895643	9.486187222	9.196951478
10057	8.510626913	9.575287557	10.24028022	8.477506127	9.02928557	9.12548838	8.064847831	8.863142135	9.329536473	9.1450283
653190	6.936965305	0	6.234303956	1.868884273	3.449270826	0	4.957422476	6.146938243	5.53641042	3.559296014
730013	5.581200582	0.843501526	6.574187813	0	4.994172381	0.825541427	5.653765137	5.434364682	4.01231837	5.517694581
368	8.468821954	3.283744017	8.888308244	3.962447226	6.308885057	2.843501526	7.874157593	7.751274909	7.120256543	6.820602772
6833	0	2.527720953	2.402094544	1.218037159	3.123964106	0	2.029982866	1.392152534	0	1.411317768
10060	5.385382716	5.718046473	5.357552005	7.4380749	6.709268576	6.425293125	4.682140649	6.497583626	7.396220297	8.102547385
215	11.08019296	8.026697717	11.48014104	9.818353373	10.25444665	8.419171008	6.511091629	8.793536659	7.833255071	9.583035931
225	5.385382716	3.501783058	1.280124892	5.440962161	0	1.347325492	2.841590764	2.906659746	1.940429889	3.657445651
5825	9.381107265	8.668737162	8.821546321	9.453816532	9.642477577	9.894179927	10.17489199	10.24535673	9.991563369	10.17826186
5826	9.407164498	9.578289279	9.806204333	9.349156474	9.788116663	9.851405346	8.847126268	10.1108655	9.706387402	10.25570938
6059	10.09065459	10.43555442	7.6094425	8.507941677	8.898738924	10.07133297	10.39738104	10.15434612	10.46890146	9.942922038
23	11.02897083	11.32856521	11.60713211	10.83232137	11.06036453	11.09327481	11.03966373	10.00877105	10.58185351	11.31226395
10061	10.37343158	11.17543559	10.60825482	9.267687007	10.92538435	10.97870217	11.00165069	10.690437	10.4209233	10.75417023
55324	10.52985081	10.21804188	11.40688829	11.36356113	11.14848847	10.19908018	10.45319366	10.44267317	10.21815247	10.52229659
9619	9.279981247	9.339122461	9.241472457	10.0775843	11.24863564	8.677699208	11.35116612	11.15920684	9.740294489	11.3425473
9429	5.324180547	3.501783058	4.181333173	8.099134744	5.66146744	4.229634064	4.166892156	7.024178923	7.177949675	8.50313284
64137	0.901571685	0	5.964135208	1.218037159	2.928881927	2.990918566	2.279501011	1.392152534	2.930264245	4.548843481
64240	1.84967907	0	2.402094544	1.218037159	1.68036937	2.493954694	2.029982866	3.055039435	1.532117437	2.364404342
64241	0	0	4.063011031	0	1.0721058	1.347325492	0	2.087259152	0	1.411317768
55347	8.657417782	8.298307312	8.756318133	8.422801068	8.986023756	9.172582021	9.806342748	9.517522356	10.12099312	9.755005217
83451	11.44518374	9.897137999	10.32144494	11.59332548	11.22424303	11.19276642	11.58166844	11.18762296	10.99286535	10.6882177
145447	3.977911823	2.062743429	1.280124892	1.218037159	4.220376393	1.347325492	1.34596403	5.513462321	4.876870517	4.386604044
26090	11.02296495	10.65118626	10.74303111	11.93959967	11.06408397	10.68591563	10.78109238	10.94704696	10.85375735	10.98611644
84945	8.472352512	7.756842498	6.314178077	7.57482207	7.615804699	7.918425593	8.043926261	8.127402682	8.338117729	8.136980349
25864	9.638448404	9.453066255	10.29202582	10.00495806	10.73038964	9.327998968	8.772782034	9.707520305	10.16436116	10.05425252
84836	10.82594149	10.97876794	11.65521125	10.69248143	10.94245872	10.92756917	10.62009187	10.76574084	10.80652674	10.28766933
116236	8.700199018	7.600274958	8.540820056	7.564750837	7.173224396	7.33644229	6.315475661	9.124820513	7.69518722	8.350104696
84696	3.139551352	2.527720953	6.389861034	2.656496371	5.629694667	3.12465899	1.34596403	3.531131892	1.940429889	3.559296014
11057	10.32446186	10.1671154	10.26728835	10.37855356	10.40515902	10.43383515	10.6556935	10.25881098	9.980797497	10.7423374
171586	9.301972366	9.853204274	7.110017605	9.7332401	6.442907013	8.151765987	7.835722002	8.488825472	8.596182673	8.350104696
63874	9.692421793	9.97891491	11.14092107	9.759967554	10.98702655	9.494782198	8.987416375	9.647413094	8.839057621	10.07992179
51099	8.961148101	8.710375627	7.499845887	8.634998679	9.509128912	9.923155422	9.950460832	9.407926919	9.052028094	8.918826275
57406	6.808785315	5.823002858	7.577428828	6.592317994	7.82667432	5.633681132	6.559066529	7.871251027	8.435948981	8.816319703
79575	9.051246741	7.239827624	10.91406471	9.768767903	9.547895705	7.793436841	8.442754855	9.555397455	8.25119692	9.358874675
10006	10.28098623	10.24184352	8.605743957	10.60979845	9.399431533	9.987615191	10.32818617	10.1813743	10.51459838	9.770687841
10152	9.423670395	10.15208465	10.13240796	8.75056698	9.888862403	9.60045115	9.901291405	10.22493719	10.31989743	10.30669994
25890	6.065490455	5.696107911	9.033029511	4.91541095	5.136626164	6.819784402	4.497503792	6.044127415	7.753275593	8.728724941
51225	9.798887944	6.983237615	5.672425342	9.442860995	8.305264682	7.523652906	6.423092373	8.366325712	7.542494094	8.414681008
25	10.63045043	10.25790153	11.46126016	10.49184508	11.18788606	11.38205856	11.41488366	11.24572792	11.51717258	11.05638756
27	8.889018065	10.41641807	9.308013818	9.833112413	9.738704853	9.85742262	9.431044144	9.086529827	9.179902125	10.03269734
3983	10.86876361	7.949978995	11.23199255	10.34511102	10.09924339	10.5326568	12.36866652	11.49751911	11.30051656	10.80055423
84448	6.566054038	4.766409645	8.012026108	4.91541095	6.678540987	3.970098986	3.462458102	6.585634099	6.997449361	7.53964118
22885	5.776614633	3.501783058	6.14974712	5.68363751	4.594148409	5.822691913	3.245054451	5.134163428	5.476362244	6.515012226
28	5.581200582	1.37233924	4.576346779	2.931928843	5.52994585	2.990918566	0.824564212	5.563884177	0.960585845	2.110864324
26	10.81277344	2.062743429	6.314178077	4.782681141	9.33288893	5.633681132	5.387621028	12.86730996	9.961761786	11.95804275
137735	0	0.843501526	0	0	1.0721058	1.347325492	0	1.392152534	0.960585845	2.933383791
29	10.65240305	8.386570851	9.703656357	10.31688768	11.53845043	11.15759812	10.05871681	10.99319882	11.28910771	11.29711843
29777	10.02004431	9.722285164	9.368506462	9.633183062	9.593904799	9.802341713	9.453429301	9.638618185	9.825497384	9.562598665
80325	9.789012877	8.312797208	9.73059139	9.22675705	9.103452529	8.501399335	7.781141981	8.114774079	8.87729211	9.53865184
25841	7.189481631	8.078496693	10.39828559	7.718012898	8.157115479	7.954802348	7.278003339	6.303514099	6.909356697	7.856147857
30	10.69533105	9.493378541	11.00311632	10.37279292	10.98310284	9.983824453	10.56901889	10.90243451	10.88945217	10.49351915
10449	9.350739665	7.949978995	10.50425153	9.694507982	8.691214492	7.862080627	7.835722002	9.033841157	7.959256057	9.96842186
31	9.908496803	10.68430032	11.21994636	9.965313456	10.6032327	11.62574235	11.62984846	11.09261062	10.47658532	10.9399358
32	6.605171315	5.939635628	9.265112653	8.187109046	8.285009586	7.505374909	6.00501366	6.921573196	7.512907928	9.03521562
80724	9.600235553	9.323107242	9.399354197	9.236306051	8.944656431	9.221922986	9.202810961	9.512717158	10.39480232	9.247070659
84129	8.975922465	9.346958219	7.90972151	9.251830793	8.167498433	7.769180631	7.646451427	9.680296047	8.378951994	9.021458073
27034	8.537838451	9.279510297	8.63714252	8.113023765	9.347612732	8.77754399	9.204697558	9.406200753	9.020836634	9.57991062
28976	10.10231064	9.253569317	10.44474874	10.65626834	10.14393161	9.800643847	10.47215062	9.959654832	10.58134579	10.11323961
33	0	3.396885587	3.792553458	0	6.045477919	2.031677496	6.448786998	5.230956142	7.874552316	6.038486665
34	8.951062027	6.0301065	8.177775309	8.193659398	8.493562078	8.406094008	9.028466383	9.742144523	8.805894743	9.511022624
36	8.660515811	8.383142223	6.775727469	7.823139193	7.847542862	7.890528164	7.845427324	7.799416979	8.531259801	8.400578488
35	9.601848213	9.003976297	9.102163117	9.543724186	9.913811379	8.409374387	9.640650569	9.654701539	9.423963625	9.666434044
37	12.23832388	12.19211126	12.05928169	12.58251825	12.82883473	12.33101094	12.15114152	12.87730858	13.20413399	12.73695888
176	7.617008228	7.193597309	8.14174238	7.727071601	6.479018708	7.700091487	7.196930583	1.781149852	6.396681837	7.411888878
9744	10.51366592	6.850489412	6.866837523	9.494173968	6.934031669	6.412271751	6.523235745	6.821506142	6.986727201	7.302378461
23527	9.48961097	10.53316832	8.170640661	9.17141902	7.9346368	9.322789397	8.947418947	9.494960359	9.562179257	9.053357106
116983	9.521757263	8.687261943	9.890785469	10.12473846	9.576656288	9.527348761	8.150917564	9.069921503	8.976762579	9.182229465
38	8.715175413	9.339122461	8.81240645	9.951852792	9.933464497	8.715292809	10.29396967	8.875671341	10.14409507	10.39914716
39	8.176372145	7.540152067	8.463933011	8.721715792	9.054962404	10.25820219	10.80369613	9.064262325	8.024659876	9.229786174
64746	9.058311354	10.35298358	9.200022916	8.498820093	9.575259946	10.64406158	10.13291044	9.304223989	9.105041322	9.812057424
79777	8.718152331	7.527597421	9.0369585	7.594755295	7.921574981	6.663716063	7.586543339	7.896062914	8.424076826	8.174759938
91452	9.32753715	10.08613357	7.842799112	9.431821835	8.558285622	9.609036124	9.254718983	9.226142174	9.031308896	8.829538502
84320	9.12038201	9.375813803	10.69659498	9.807717965	10.76553599	9.85982252	9.873101393	9.369463648	9.45735379	10.32641555
414149	7.180875869	7.088041925	7.566597516	6.688208339	7.258800615	7.410341105	8.866321053	8.495335403	9.333773228	9.308782693
40	0.901571685	1.37233924	4.576346779	7.848266134	6.161127851	0	0	7.233351243	5.445372474	2.110864324
41	4.558843128	4.962951515	8.191940606	3.163112244	5.181146292	5.441981378	6.715432161	5.100401632	7.765872176	5.322075964
9311	4.055282436	3.858528121	7.87826983	3.163112244	3.714564249	1.729705026	1.728138203	3.965534965	4.677953554	4.909081827
55515	0	1.758431108	4.290675055	1.218037159	0	1.347325492	0.824564212	0	0	0
51802	0	0	0	0	0	0	0	0	0	0
390110	0	0	0	0	0	0	0	0	0	0
84680	8.571147002	7.457599216	8.853086817	7.415837241	7.515056395	7.199141296	6.694104327	8.188937424	9.419984187	7.150547492
65057	9.569249169	9.294189484	8.443535791	8.509360145	9.017056978	9.220056134	8.436347179	9.110050241	8.93420421	8.886303824
59272	9.309886935	2.062743429	3.258729962	3.693353136	4.526738658	6.68552673	2.677418036	5.407002573	3.925154435	2.579976597
125981	0.901571685	0	1.280124892	1.218037159	0	0	0	0	0	1.411317768
340485	4.931394678	5.102926827	4.660249813	4.850574422	4.994172381	6.216437404	5.387621028	5.989838381	5.131700596	4.784294578
55331	7.584753595	7.940678887	6.414231958	8.300689341	7.754850766	8.136011387	8.236941716	8.148207084	8.095235073	7.53319266
1636	9.367900009	8.204289424	9.417551078	10.30936778	10.36471501	8.832340357	9.406668039	9.365915579	9.262225951	8.558166593
43	5.527911704	3.777261892	5.788834461	5.720390658	3.123964106	2.031677496	3.245054451	2.087259152	4.508409636	5.130309026
22985	11.62801827	12.09931224	12.10782421	11.50325769	11.9278739	11.96056528	11.78131451	12.10377542	11.9685309	12.06864589
47	10.65938891	11.75323459	11.93753147	11.22495003	12.38248313	12.36499129	13.37994873	12.04785455	11.4880078	11.88173118
130013	0	7.159290106	0	0	1.771716585	0	0.855670834	0	0	0.871764811
57001	8.26408411	8.348398421	7.139551352	8.20667106	7.941123922	8.31107755	9.141106527	9.358793156	9.253307407	8.918826275
48	9.445388615	9.945596438	9.217438428	9.80129885	9.91216152	9.508613058	9.797620352	9.966055053	9.375468917	9.65013554
50	11.71429099	12.55053258	12.33110888	13.26064856	12.2250317	11.50928017	12.7055736	11.98156061	11.54881965	11.8147902
26027	7.10102704	4.848267387	9.219064672	8.193659398	8.259283787	9.238082008	8.356367893	8.682652298	7.227881596	7.19297824
134526	0	0	0	1.218037159	0	0	0.824564212	0	0	0.871764811
55856	9.357361099	9.181871561	7.882992066	8.894576486	9.692777981	9.183065386	9.348409044	9.760731422	9.568520688	9.173464526
641371	9.173399563	9.754487867	8.074523633	8.728182089	8.865022108	7.694724217	7.816112625	8.270901715	8.856830422	8.916350343
10965	9.789012877	10.09244611	8.702914798	9.154730785	9.28269509	8.124081495	8.678196234	8.827469738	9.295187837	9.270523102
122970	7.69159837	7.788291578	6.414231958	6.259212217	7.82667432	5.588090957	6.628165541	7.48304264	6.702131119	6.710591563
641372	1.84967907	1.758431108	3.459431619	1.218037159	1.0721058	1.347325492	0	0	0.960585845	1.411317768
11332	10.35920049	9.236456024	10.67154107	10.65143483	9.887183595	10.07959292	10.10792883	9.608908646	9.468956323	9.724195436
10005	9.798480226	9.120473511	10.2346977	9.45378917	9.655099729	9.13312731	9.204810514	9.32852549	9.352455755	9.316126504
23597	8.894291508	8.430419516	7.27878117	8.251309608	8.475800296	8.582102079	9.129237417	8.951014804	8.874386632	8.723069753
51	9.923753099	9.974387485	9.623907637	9.655229452	11.01337502	10.38244873	11.12019543	10.74223962	10.46329528	10.57739361
8309	6.592249214	5.375609444	9.033029511	4.782681141	5.838682056	8.029186166	7.60950751	6.431230143	5.94365648	6.177305912
8310	8.843397567	7.977524359	9.333794244	9.18134013	8.747811659	9.037064511	9.156781874	8.452486303	9.184600907	8.049306212
55289	4.448458298	1.37233924	6.090491441	5.253055144	3.83090431	5.492346734	2.677418036	4.298951516	1.532117437	2.933383791
52	10.59121068	11.69841975	10.69659498	10.24144588	10.78369589	10.80776207	11.40055399	11.51724523	11.0068621	10.77618387
53	11.23468333	10.01132581	10.56809188	11.15953843	11.41855871	10.32153198	10.58062904	10.85260051	10.41393706	10.79719395
54	12.0068812	9.26840211	11.35825872	11.91751157	10.39810374	8.596563988	7.983679405	9.196485821	9.790477201	9.517571368
51205	9.666458189	8.958623181	8.789300839	8.882099797	10.82724464	10.03675167	10.6080268	8.355632119	9.69160814	8.59578746
92370	7.490404866	7.071094402	8.043612995	9.191193481	8.430415752	7.423379837	9.279989137	7.856155951	9.284284159	8.445916197
55	1.84967907	3.501783058	5.357552005	3.962447226	5.22433746	5.720757277	4.592773947	5.167157183	4.829651708	5.060267923
93650	0	0	0	0	0	1.347325492	0	0.857821792	0	1.411317768
84519	4.757113946	6.081784861	7.368818102	5.645920651	6.045477919	4.529364958	2.841590764	4.710547483	5.804061305	5.568026023
93953	4.931394678	6.529204078	5.500983653	4.290394913	4.038743442	4.39761132	4.341651356	4.174670068	4.730313886	4.267333537
56	1.84967907	1.37233924	1.94751655	0	0	2.281253134	2.677418036	3.312636134	2.930264245	2.579976597
49	4.32892261	1.37233924	5.198270188	1.868884273	2.928881927	2.843501526	0.824564212	1.392152534	3.733245863	3.21704455
23205	2.989938264	2.527720953	4.181333173	2.656496371	3.295767098	2.843501526	3.357847551	3.807107582	4.316254375	4.827102579
81616	0	2.878823414	3.258729962	1.868884273	1.0721058	0.825541427	0	1.392152534	0	1.429160657
80221	9.155942467	8.482618811	10.63078713	10.86859132	8.819978503	7.881107841	10.07221167	8.488825472	7.827257585	9.299027556
197322	8.594013635	8.539170446	8.467023056	9.22675705	9.753522642	9.191759535	9.193342024	9.204454012	9.226216127	8.773187021
2180	7.830119025	13.35727012	8.332835909	10.48117581	9.233336862	9.690840636	8.762573389	8.390973717	8.821063459	9.336826082
2181	9.737130029	10.6404559	9.485254329	9.559024452	9.939956587	10.10308018	11.30135032	10.27592684	9.922919729	9.89361628
2182	10.19048486	8.885381264	8.043612995	8.312774522	10.68955785	8.1673504	8.8852635	8.764187226	9.653136529	9.452416495
51703	11.99649799	10.95008817	6.314178077	9.31651868	11.66874576	9.611886467	6.24389753	10.2327502	12.45434138	8.960278277
23305	1.452120959	0.843501526	4.290675055	2.931928843	2.106884289	0	0.824564212	1.781149852	1.940429889	2.579976597
116285	0.901571685	1.37233924	3.459431619	3.163112244	2.703255772	2.281253134	2.988975468	3.72084755	4.383185866	5.197102649
123876	0	0.843501526	0	0	0	0	0	0	0.960585845	0
348158	0	0	0	0	0	0	0	0	0	0.871764811
6296	9.835192375	10.1459473	7.935459748	5.005727836	8.73521346	10.07810957	9.216375559	9.619406591	9.402564442	8.687066989
341392	0	0	0	0	0	0.825541427	0.824564212	0	1.532117437	0
54988	0.901571685	2.062743429	4.814699094	3.834165097	4.220376393	0	0	1.392152534	0	3.34036287
84532	9.524038398	5.958188443	10.78451797	11.62031831	10.1782448	9.6948788	8.009807907	10.68617553	9.191620633	9.789235946
55902	9.551000485	9.851964493	10.52258153	9.483521768	10.05507158	9.944794038	10.55503914	9.544452929	9.136908597	9.466023628
79611	2.989938264	4.962951515	7.824731582	6.531567049	9.038389813	8.77754399	8.670026991	2.339622003	6.008695286	7.571461421
58	2.160984708	3.501783058	8.616286378	2.315798063	2.435655261	3.464485305	2.677418036	2.087259152	3.099059506	2.110864324
59	10.90322804	11.73827972	12.66989109	12.87602172	11.18774288	12.64613558	10.59732538	9.129431658	12.8856136	14.29537152
345651	0	0	1.280124892	0	2.703255772	2.281253134	0	0	0	0.871764811
60	17.09620426	17.10514467	17.1756651	17.61140692	17.30834078	17.48234403	17.87957473	17.39418855	16.83632464	17.05566782
70	1.84967907	0.843501526	8.313531115	4.385009902	2.928881927	5.611066122	2.279501011	1.781149852	5.779422579	4.49676911
71	16.21368135	16.01584165	17.66495217	16.06595872	17.04256344	16.82812169	18.08603035	16.34768712	16.40708045	16.6569756
72	6.905971787	9.394666973	7.46527498	9.668880199	8.059134058	9.499407233	7.708550762	4.519378353	9.275501352	11.71153668
86	9.633726898	9.911490112	9.43849476	10.28042931	9.40739418	9.476132346	10.47367683	10.05246766	10.41992732	10.03269734
51412	0	0	2.747236999	0	0	0	0	0	0	0
10881	0	0	0	0	0	0	0	0	0	0
10880	0	0	0	0	0	0	0	0	1.940429889	0
81569	0	5.319310838	8.326429487	2.656496371	2.106884289	6.074875739	2.677418036	0	3.386907491	2.364404342
284382	0	0	0	0	0	0	0	0	0	0
87	11.82070527	12.59953225	12.0632506	12.32240413	11.80700826	12.14478986	11.84377732	12.00458643	12.09246996	12.46338975
88	1.452120959	4.436654916	6.595657315	0	2.435655261	0	0	0	0.960585845	3.21704455
89	1.84967907	0.843501526	5.751064643	2.315798063	2.106884289	0	0	0.857821792	1.532117437	1.411317768
81	13.70329285	13.50184299	15.78408561	14.23787917	13.55302845	13.75015527	13.78626341	13.56860802	13.13001357	13.49875044
55860	9.512082064	8.870765721	8.21986017	8.714582451	8.519800954	8.622235623	9.263795002	9.406200753	9.740294489	9.561014466
10121	11.57029718	11.38322324	11.56897401	11.02092655	11.89483906	11.73305296	11.92440075	11.92634989	12.18536335	11.12821632
